type,a,b,c,d,e,f,g,h,i,j,k,l,m
1,5.40,8,5204,245,2.00,1.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
1,10.87,8,7160,245,3.00,1.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
1,13.59,8,10247,338,3.00,1.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
1,71.87,8,0,0,4.00,1.00,0.00,0.00,18.00,100.00,0.00,0.00,0.00
-1,0.00,49,0,0,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,1.00
-1,1.16,49,128,219,0.00,0.00,0.00,1.00,4.00,30.00,0.00,0.00,0.00
-1,1.11,49,128,219,1.00,1.00,0.00,0.50,20.00,31.00,0.00,0.00,0.00
-1,7.54,49,2764,1750,2.00,1.00,0.00,0.00,21.00,32.00,0.00,0.00,0.00
1,4.80,8,679,176,0.00,0.00,0.00,0.00,19.00,100.00,0.00,0.00,0.00
-1,0.00,49,0,0,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,1.00
1,4.86,8,652,176,1.00,1.00,0.00,0.00,20.00,100.00,0.00,0.00,0.00
1,24.11,8,11217,623,2.00,1.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
1,23.93,8,2234,167,2.00,1.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
-1,0.00,49,0,0,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00
-1,0.00,49,0,0,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00
-1,1.17,49,128,219,0.00,0.00,0.00,1.00,2.00,33.00,0.00,0.00,0.00
-1,0.00,49,0,0,0.00,0.00,0.00,0.67,0.00,0.00,0.00,0.00,0.00
1,5.09,8,5226,245,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
-1,6.67,49,2471,1518,1.00,1.00,0.00,0.50,3.00,34.00,0.00,0.00,0.00
1,4.57,8,672,176,1.00,1.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
1,4.57,8,666,176,2.00,1.00,0.00,0.00,1.00,100.00,0.00,0.00,0.00
1,4.57,8,648,176,2.00,1.00,0.00,0.00,2.00,100.00,0.00,0.00,0.00
1,4.77,8,661,176,3.00,1.00,0.00,0.00,3.00,100.00,0.00,0.00,0.00
-1,1.11,49,128,219,0.00,0.00,0.00,0.00,21.00,34.00,0.00,0.00,0.00
-1,6.27,49,2475,1518,1.00,1.00,0.00,0.00,22.00,35.00,0.00,0.00,0.00
-1,0.00,49,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1,2.24,8,2091,236,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
-1,1.18,49,128,219,1.00,1.00,0.00,0.50,5.00,35.00,0.00,0.00,0.00
-1,0.00,49,0,0,1.00,1.00,1.00,0.33,0.00,1.00,0.00,0.00,1.00
-1,0.00,49,0,0,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00
-1,33.27,49,4228,2459,1.00,1.00,0.00,0.67,6.00,36.00,0.00,0.00,0.00
-1,0.00,49,0,0,0.00,0.00,0.00,0.50,0.00,1.00,0.00,0.00,1.00
1,4.69,8,622,176,0.00,0.00,0.00,0.00,4.00,100.00,0.00,0.00,0.00
1,5.98,8,2219,167,1.00,1.00,0.00,0.00,1.00,100.00,0.00,0.00,0.00
1,4.44,8,655,176,2.00,1.00,0.00,0.00,5.00,100.00,0.00,0.00,0.00
-1,0.00,49,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1,4.83,8,644,176,3.00,1.00,0.00,0.00,6.00,100.00,0.00,0.00,0.00
-1,0.00,49,0,0,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
1,13.58,8,2234,167,2.00,1.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
1,4.64,8,646,176,1.00,1.00,0.00,0.00,7.00,100.00,0.00,0.00,0.00
-1,1.10,49,128,219,0.00,0.00,0.00,0.00,22.00,37.00,0.00,0.00,0.00
1,4.87,8,657,176,1.00,1.00,0.00,0.00,8.00,100.00,0.00,0.00,0.00
1,4.72,8,670,176,2.00,1.00,0.00,0.00,9.00,100.00,0.00,0.00,0.00
1,4.72,8,654,176,3.00,1.00,0.00,0.00,10.00,100.00,0.00,0.00,0.00
-1,6.33,49,2475,1518,1.00,1.00,0.00,0.00,23.00,38.00,0.00,0.00,0.00
-1,0.00,49,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1,0.44,8,2127,244,3.00,1.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
1,4.83,8,670,176,1.00,1.00,0.00,0.00,11.00,100.00,0.00,0.00,0.00
-1,0.00,49,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1,4.91,8,656,176,1.00,1.00,0.00,0.00,12.00,100.00,0.00,0.00,0.00
-1,0.00,49,0,0,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
-1,0.00,49,0,0,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
1,5.22,8,661,176,2.00,1.00,0.00,0.00,13.00,100.00,0.00,0.00,0.00
-1,0.00,49,0,0,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
1,5.06,8,647,176,2.00,1.00,0.00,0.00,14.00,100.00,0.00,0.00,0.00
-1,4.24,49,128,219,0.00,0.00,0.00,1.00,7.00,38.00,0.00,0.00,0.00
1,4.55,8,5114,245,2.00,1.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
1,8.10,8,15519,431,3.00,1.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
1,5.21,8,640,176,3.00,1.00,0.00,0.00,15.00,100.00,0.00,0.00,0.00
-1,0.00,49,0,0,0.00,0.00,0.00,0.00,92.00,100.00,1.00,0.00,0.00
1,2.47,8,2487,308,3.00,1.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
1,2.68,8,2524,308,4.00,1.00,0.00,0.00,1.00,100.00,0.00,0.00,0.00
-1,1.11,49,128,219,0.00,0.00,0.00,0.00,23.00,38.00,0.00,0.00,0.00
1,0.45,8,2511,308,2.00,1.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
1,4.61,8,651,176,3.00,1.00,0.00,0.00,16.00,100.00,0.00,0.00,0.00
1,4.61,8,642,176,4.00,1.00,0.00,0.00,17.00,100.00,0.00,0.00,0.00
-1,8.00,49,2764,1750,1.00,1.00,0.00,0.00,24.00,38.00,0.00,0.00,0.00
1,2.25,8,2515,308,3.00,1.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
1,2.28,8,2478,308,4.00,1.00,0.00,0.00,1.00,100.00,0.00,0.00,0.00
1,4.65,8,669,176,5.00,1.00,0.00,0.00,18.00,100.00,0.00,0.00,0.00
1,5.16,8,2450,308,6.00,1.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
1,5.17,8,2579,678,7.00,1.00,0.00,0.00,1.00,100.00,0.00,0.00,0.00
-1,0.00,49,64,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1,2.67,8,2215,167,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
1,4.83,8,633,176,1.00,1.00,0.00,0.00,19.00,100.00,0.00,0.00,0.00
-1,0.00,49,0,0,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
1,4.82,8,635,176,2.00,1.00,0.00,0.00,20.00,100.00,0.00,0.00,0.00
-1,0.00,49,93,0,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
1,4.87,8,647,176,3.00,1.00,0.00,0.00,21.00,100.00,0.00,0.00,0.00
1,4.59,8,630,176,4.00,1.00,0.00,0.00,22.00,100.00,0.00,0.00,0.00
1,12.80,8,5097,245,5.00,1.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
1,24.95,8,5116,245,3.00,1.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
1,4.61,8,654,176,1.00,1.00,0.00,0.00,23.00,100.00,0.00,0.00,0.00
1,4.46,8,674,176,2.00,1.00,0.00,0.00,24.00,100.00,0.00,0.00,0.00
1,3.86,8,2197,167,2.00,1.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
1,4.54,8,669,176,3.00,1.00,0.00,0.00,25.00,100.00,0.00,0.00,0.00
-1,0.00,49,0,0,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00
-1,1.12,49,128,219,0.00,0.00,0.00,1.00,24.00,38.00,0.00,0.00,0.00
1,4.42,8,674,176,3.00,1.00,0.00,0.00,26.00,100.00,0.00,0.00,0.00
-1,6.32,49,2475,1518,1.00,1.00,0.00,0.50,25.00,39.00,0.00,0.00,0.00
-1,0.00,49,0,0,0.00,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.00
1,4.61,8,654,176,1.00,1.00,0.00,0.00,27.00,100.00,0.00,0.00,0.00
-1,0.00,49,0,0,0.00,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.00
1,0.00,8,0,0,1.00,1.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
1,4.58,8,641,176,2.00,1.00,0.00,0.00,28.00,100.00,0.00,0.00,0.00
1,4.74,8,618,176,3.00,1.00,0.00,0.00,29.00,100.00,0.00,0.00,0.00
-1,0.00,49,0,0,0.00,0.00,0.00,1.00,0.00,2.00,0.00,0.00,1.00
-1,1.15,49,128,219,0.00,0.00,0.00,1.00,8.00,40.00,0.00,0.00,0.00
-1,26.59,49,0,0,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00
-1,30.27,49,4228,2459,1.00,1.00,0.00,0.33,9.00,41.00,0.00,0.00,0.00
1,4.41,8,2100,252,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
1,0.00,8,0,0,1.00,1.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
1,4.04,8,2215,167,2.00,1.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
1,4.25,8,2196,167,3.00,1.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
1,5.87,8,0,0,3.00,1.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
-1,1.11,49,128,219,0.00,0.00,0.00,0.00,25.00,41.00,0.00,0.00,0.00
1,7.98,8,2230,167,4.00,1.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
1,0.81,8,2494,308,1.00,1.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
1,0.59,8,2461,308,2.00,1.00,0.00,0.00,1.00,100.00,0.00,0.00,0.00
-1,6.26,49,2475,1518,1.00,1.00,0.00,0.00,25.00,41.00,0.00,0.00,0.00
-1,0.00,49,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-1,0.00,49,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-1,1.14,49,128,219,0.00,0.00,0.00,1.00,10.00,42.00,0.00,0.00,0.00
-1,0.00,49,0,0,0.00,0.00,0.00,0.50,0.00,1.00,0.00,0.00,1.00
-1,1.11,49,128,219,1.00,1.00,0.00,0.67,25.00,42.00,0.00,0.00,0.00
-1,6.29,49,2475,1518,2.00,1.00,0.00,0.33,26.00,42.00,0.00,0.00,0.00
-1,0.00,49,0,0,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00
1,5.14,8,665,176,0.00,0.00,0.00,0.00,21.00,100.00,0.00,0.00,0.00
-1,0.00,49,0,0,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
1,5.18,8,656,176,1.00,1.00,0.00,0.00,22.00,100.00,0.00,0.00,0.00
-1,0.00,49,0,0,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00
-1,0.00,49,0,0,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00
1,5.21,8,669,176,1.00,1.00,0.00,0.00,23.00,100.00,0.00,0.00,0.00
-1,1.12,49,128,219,0.00,0.00,0.00,0.00,26.00,41.00,0.00,0.00,0.00
-1,6.35,49,2475,1518,1.00,1.00,0.00,0.00,27.00,42.00,0.00,0.00,0.00
-1,0.00,49,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-1,0.00,49,0,0,0.00,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.00
-1,1.15,49,128,219,2.00,1.00,0.00,0.50,11.00,43.00,0.00,0.00,0.00
-1,6.59,49,2475,1469,2.00,1.00,0.00,0.50,12.00,44.00,0.00,0.00,0.00
1,8.31,8,5244,245,0.00,0.00,0.00,0.00,1.00,100.00,0.00,0.00,0.00
1,4.13,8,5145,245,1.00,1.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
-1,0.00,49,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-1,0.00,49,0,0,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
1,6.96,8,5279,245,0.00,0.00,0.00,0.00,2.00,100.00,0.00,0.00,0.00
-1,1.11,49,128,219,0.00,0.00,0.00,0.00,27.00,44.00,0.00,0.00,0.00
-1,0.00,49,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1,5.48,8,3344,200,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
-1,6.36,49,2475,1518,1.00,1.00,0.00,0.50,27.00,44.00,0.00,0.00,0.00
-1,7.61,49,51,0,0.00,0.00,0.00,0.33,0.00,2.00,0.00,0.00,0.00
-1,0.00,49,0,0,0.00,0.00,0.00,0.25,0.00,0.00,0.00,0.00,0.00
-1,0.00,49,0,0,0.00,0.00,0.00,0.40,0.00,0.00,0.00,0.00,0.00
1,5.27,8,5169,245,1.00,1.00,0.00,0.00,3.00,100.00,0.00,0.00,0.00
-1,0.00,49,0,0,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00
-1,1.22,49,128,219,0.00,0.00,0.00,1.00,2.00,44.00,0.00,0.00,0.00
1,3.34,8,2213,167,1.00,1.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
-1,3.78,49,128,219,1.00,1.00,0.00,0.50,11.00,44.00,0.00,0.00,0.00
-1,6.62,49,2471,1518,2.00,1.00,0.00,0.33,3.00,45.00,0.00,0.00,0.00
-1,0.00,49,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-1,0.00,49,0,0,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
-1,33.64,49,4228,2459,0.00,0.00,0.00,1.00,12.00,44.00,0.00,0.00,0.00
-1,0.00,49,0,0,0.00,0.00,0.00,0.67,0.00,2.00,0.00,0.00,1.00
-1,1.10,49,128,219,1.00,1.00,0.00,0.50,25.00,44.00,0.00,0.00,0.00
-1,6.25,49,2475,1518,1.00,1.00,0.00,0.00,25.00,44.00,0.00,0.00,0.00
-1,0.00,49,0,0,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,1.00
-1,0.00,49,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-1,0.00,49,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-1,0.00,49,0,0,0.00,0.00,0.00,1.00,0.00,2.00,0.00,0.00,1.00
-1,1.12,49,128,219,0.00,0.00,0.00,0.00,25.00,44.00,0.00,0.00,0.00
-1,6.26,49,2475,1518,1.00,1.00,0.00,0.00,25.00,44.00,0.04,0.00,0.00
-1,0.00,49,0,0,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00
-1,0.00,49,0,0,0.00,0.00,0.00,0.33,0.00,1.00,0.00,0.00,1.00
-1,0.00,49,0,0,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00
-1,0.00,49,0,0,0.00,0.00,0.00,0.75,0.00,0.00,0.00,0.00,0.00
-1,0.00,49,0,0,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00
1,14.08,8,3078,245,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
-1,1.13,49,128,219,0.00,0.00,0.00,1.00,13.00,42.00,0.00,0.00,0.00
1,2.77,8,2234,167,0.00,0.00,0.00,0.00,1.00,100.00,0.00,0.00,0.00
-1,0.00,49,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1,1.96,8,2174,268,1.00,1.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
-1,0.00,49,0,0,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
-1,0.00,49,0,0,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
-1,0.00,49,0,0,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
-1,1.11,49,128,219,0.00,0.00,0.00,0.67,24.00,41.00,0.00,0.00,0.00
-1,0.00,49,0,0,1.00,1.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00
-1,6.32,49,2475,1518,1.00,1.00,0.00,0.00,25.00,41.00,0.00,0.00,0.00
1,7.28,8,5170,245,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
-1,0.00,49,0,0,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00
-1,0.00,49,32,0,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00
-1,0.00,49,0,0,2.00,1.00,0.00,0.33,2.00,2.00,1.00,0.00,0.00
1,3.61,8,5155,245,1.00,1.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
1,3.38,8,5169,245,2.00,1.00,0.00,0.00,1.00,100.00,0.00,0.00,0.00
-1,0.00,49,0,0,0.00,0.00,0.00,0.50,0.00,1.00,0.00,0.00,1.00
-1,1.16,49,128,219,0.00,0.00,0.00,0.00,12.00,40.00,0.00,0.00,0.00
1,3.39,8,5172,245,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
-1,0.00,49,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-1,1.11,49,128,219,1.00,1.00,0.00,0.50,24.00,41.00,0.00,0.00,0.00
-1,31.50,49,4228,2459,2.00,1.00,0.00,0.33,13.00,42.00,0.00,0.00,0.00
-1,6.38,49,2475,1518,3.00,1.00,0.00,0.25,25.00,43.00,0.00,0.00,0.00
-1,0.00,49,0,0,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00
-1,0.00,49,20,0,0.00,0.00,0.00,0.25,3.00,100.00,0.00,1.00,1.00
1,3.52,8,1929,245,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
-1,0.00,49,0,0,0.00,0.00,0.00,0.40,0.00,2.00,0.00,0.00,1.00
1,2.49,8,3090,245,1.00,1.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
-1,0.00,49,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1,3.47,8,2316,245,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
-1,0.00,49,0,0,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00
-1,0.00,49,0,0,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
1,3.81,8,2224,167,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
-1,0.00,49,0,0,0.00,0.00,0.00,1.00,0.00,2.00,0.00,0.00,1.00
-1,0.00,49,0,0,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
-1,1.11,49,128,219,0.00,0.00,0.00,1.00,24.00,40.00,0.00,0.00,0.00
-1,0.00,49,0,0,0.00,0.00,0.00,0.67,0.00,0.00,0.00,0.00,0.00
-1,6.29,49,2475,1518,1.00,1.00,0.00,0.50,24.00,39.00,0.00,0.00,0.00
-1,0.00,49,0,0,0.00,0.00,0.00,0.33,0.00,1.00,0.00,0.00,1.00
-1,1.13,49,128,219,0.00,0.00,0.00,0.00,13.00,39.00,0.00,0.00,0.00
-1,0.00,49,0,0,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00
1,3.64,8,2225,167,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
-1,1.11,49,128,219,0.00,0.00,0.00,0.00,24.00,39.00,0.00,0.00,0.00
-1,0.00,49,0,0,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00
-1,6.30,49,2475,1518,1.00,1.00,0.00,0.50,25.00,39.00,0.00,0.00,0.00
1,6.15,8,2291,245,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
-1,0.00,49,0,0,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,1.00
-1,0.00,49,0,0,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
1,163.50,8,35120,245,1.00,1.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
-1,0.00,49,0,0,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
-1,1.15,49,128,219,0.00,0.00,0.00,1.00,12.00,39.00,0.00,0.00,0.00
1,1.29,8,499,245,1.00,1.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
-1,52.98,49,8610,5061,1.00,1.00,0.00,0.00,13.00,39.00,0.00,0.00,0.00
-1,1.12,49,128,219,2.00,1.00,0.00,0.00,24.00,40.00,0.00,0.00,0.00
-1,6.35,49,2475,1469,2.00,1.00,0.00,0.00,25.00,41.00,0.00,0.00,0.00
-1,0.00,49,0,0,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00
-1,0.00,49,0,0,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00
-1,0.00,49,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-1,0.00,49,0,0,0.00,0.00,0.00,0.50,88.00,100.00,1.00,0.00,0.00
-1,2.18,49,0,0,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00
1,8.67,8,5128,245,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
-1,2.30,49,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1,19.91,8,2414,308,1.00,1.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
-1,0.00,49,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-1,0.00,49,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1,0.00,49,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1,3.61,8,2197,167,1.00,1.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
1,3.67,8,2197,167,2.00,1.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
1,21.07,8,5128,245,3.00,1.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
-1,0.00,49,0,0,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00
-1,0.00,49,0,0,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00
-1,0.00,49,0,0,0.00,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.00
1,0.00,49,0,0,0.00,0.00,0.00,0.60,0.00,0.00,0.00,0.00,0.00
-1,1.11,49,128,219,0.00,0.00,0.00,0.75,24.00,39.00,0.00,0.00,0.00
-1,1.53,49,128,219,1.00,1.00,0.00,0.60,0.00,40.00,0.00,0.00,0.00
-1,1.13,49,128,219,2.00,1.00,0.00,0.50,13.00,41.00,0.00,0.00,0.00
-1,6.57,49,2475,1518,3.00,1.00,0.00,0.00,24.00,41.00,0.00,0.00,0.00
-1,8.97,49,2475,1518,4.00,1.00,0.00,0.00,1.00,41.00,0.00,0.00,0.00
-1,0.00,49,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1,4.05,8,2208,167,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
1,0.00,8,0,48,1.00,1.00,0.00,0.00,9.00,100.00,0.00,0.00,0.00
-1,0.00,49,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-1,2.12,49,0,0,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
-1,0.00,49,0,0,0.00,0.00,0.00,0.50,0.00,1.00,0.00,0.00,1.00
-1,0.00,49,0,0,0.00,0.00,0.00,0.67,0.00,0.00,0.00,0.00,0.00
-1,0.00,49,0,0,0.00,0.00,0.00,0.67,90.00,100.00,1.00,0.00,0.00
-1,178.04,49,181,163302,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-1,1.13,49,128,219,0.00,0.00,0.00,0.00,24.00,41.00,0.00,0.00,0.00
1,4.71,8,2473,308,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
-1,6.28,49,2475,1518,1.00,1.00,0.00,0.00,25.00,41.00,0.00,0.00,0.00
1,6.82,8,2432,308,1.00,1.00,0.00,0.00,1.00,100.00,0.00,0.00,0.00
-1,0.00,49,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-1,1.14,49,128,219,2.00,1.00,0.00,0.33,12.00,40.00,0.00,0.00,0.00
1,3.93,8,536,245,2.00,1.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
-1,0.00,49,0,0,0.00,0.00,0.00,0.25,0.00,0.00,0.00,0.00,0.00
-1,0.00,49,0,0,0.00,0.00,0.00,0.25,0.00,0.00,0.00,0.00,0.00
1,66.76,8,35156,245,1.00,1.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
-1,1.14,49,128,219,0.00,0.00,0.00,0.00,0.00,41.00,0.00,0.00,0.00
1,3.42,8,7144,245,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
-1,0.00,49,0,0,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00
-1,0.00,49,0,0,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00
1,3.62,8,7148,245,1.00,1.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
-1,6.50,49,2467,1518,1.00,1.00,0.00,0.67,1.00,40.00,0.00,0.00,0.00
-1,0.00,49,0,0,0.00,0.00,0.00,0.50,0.00,1.00,0.00,0.00,1.00
-1,0.00,20,0,0,2.00,0.00,0.00,0.00,12.00,56.00,0.00,0.00,0.02
-1,0.33,49,0,0,0.00,0.00,0.00,0.60,0.00,0.00,0.00,0.00,0.00
-1,0.33,49,0,0,0.00,0.00,0.00,0.50,0.00,2.00,0.00,0.00,0.00
-1,2.96,49,0,0,1.00,1.00,0.00,0.43,0.00,0.00,0.00,0.00,0.00
-1,0.00,49,0,0,0.00,0.00,0.00,0.38,0.00,1.00,0.00,0.00,1.00
-1,0.00,13,0,0,0.00,0.00,0.00,0.00,0.00,18.00,0.00,0.00,0.00
-1,0.00,49,0,0,0.00,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.00
1,4.95,8,7162,245,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
-1,0.00,49,0,0,0.00,0.00,0.00,0.40,0.00,0.00,0.00,0.00,0.00
-1,1.11,49,128,219,0.00,0.00,0.00,1.00,22.00,40.00,0.00,0.00,0.00
1,3.59,8,2183,167,1.00,1.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
-1,0.00,49,0,0,0.00,0.00,0.00,0.67,0.00,0.00,0.00,0.00,0.00
-1,6.28,49,2475,1518,1.00,1.00,0.00,0.67,22.00,40.00,0.00,0.00,0.00
-1,0.00,49,0,0,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00
-1,0.00,49,0,0,0.00,0.00,0.00,0.40,0.00,1.00,0.00,0.00,1.00
